x,y
0.00746926,0.752933
0.00906075,0.179951
0.0106065,0.955632
0.0108427,0.416755
0.0108539,0.497329
0.0108789,0.73771
0.0110391,0.904385
0.0139084,1.42994
0.0146749,1.40926
0.0156323,0.713208
0.0158827,1.08683
0.0167993,1.63262
0.0193321,4.63983
0.0223323,2.54403
0.026987,3.1515
0.0317324,3.59994
0.0321309,3.05725
0.0349689,6.10723
0.0384256,6.35064
0.039522,7.89012
0.0434356,8.43076
0.056336,19.2332
0.0563673,21.1537
0.0603165,23.2376
0.0645168,23.8491
0.0660584,13.6508
0.0731199,49.5886
0.0738564,27.6291
0.0738857,29.5727
0.083539,40.8935
0.0893778,43.7169
0.0918916,50.7448
0.0988381,134.9
0.0995884,49.3112
0.101168,73.1277
0.102406,58.8163
0.122273,93.0865
0.129197,117.178
0.15003,157.612
0.154067,149.196
0.154177,168.617
0.18384,211.791
0.201869,194.866
